carat,depth,price,x,y,z,class
0.23,61.5,326,3.95,3.98,2.43,1
0.21,59.8,326,3.89,3.84,2.31,1
0.23,56.9,327,4.05,4.07,2.31,1
0.29,62.4,334,4.2,4.23,2.63,2
0.31,63.3,335,4.34,4.35,2.75,3
0.24,62.8,336,3.94,3.96,2.48,3
0.24,62.3,336,3.95,3.98,2.47,2
0.26,61.9,337,4.07,4.11,2.53,2
0.22,65.1,337,3.87,3.78,2.49,1
0.23,59.4,338,4,4.05,2.39,2
0.3,64,339,4.25,4.28,2.73,3
0.23,62.8,340,3.93,3.9,2.46,3
0.22,60.4,342,3.88,3.84,2.33,3
0.31,62.2,344,4.35,4.37,2.71,3
0.2,60.2,345,3.79,3.75,2.27,1
0.32,60.9,345,4.38,4.42,2.68,1
0.3,62,348,4.31,4.34,2.68,2
0.3,63.4,351,4.23,4.29,2.7,3
0.3,63.8,351,4.23,4.26,2.71,3
0.3,62.7,351,4.21,4.27,2.66,3
0.3,63.3,351,4.26,4.3,2.71,2
0.23,63.8,352,3.85,3.92,2.48,1
0.23,61,353,3.94,3.96,2.41,2
0.31,59.4,353,4.39,4.43,2.62,3
0.31,58.1,353,4.44,4.47,2.59,3
0.23,60.4,354,3.97,4.01,2.41,1
0.24,62.5,355,3.97,3.94,2.47,2
0.3,62.2,357,4.28,4.3,2.67,3
0.91,60.9,3453,6.24,6.18,3.78,2
0.9,63.9,3453,6.15,6.12,3.92,3
0.74,61.9,3454,5.79,5.81,3.59,3
0.3,63,568,4.25,4.29,2.69,1
0.36,63.5,568,4.55,4.59,2.9,2
0.36,60.5,568,4.56,4.59,2.77,2
0.36,63.3,568,4.51,4.56,2.87,2
0.36,62.1,568,4.57,4.58,2.84,2
0.36,62.1,568,4.55,4.59,2.84,2
0.3,63.1,568,4.26,4.3,2.7,2
0.36,62.1,568,4.57,4.61,2.85,2
0.3,63.2,568,4.26,4.29,2.7,1
0.36,60,568,4.58,4.62,2.76,2
0.36,60.9,568,4.58,4.61,2.8,2
0.36,60.3,568,4.58,4.64,2.78,2
0.36,62.1,568,4.54,4.58,2.83,2
0.26,60.5,569,4.1,4.16,2.5,1
0.35,61.8,569,4.54,4.56,2.81,3
0.35,61.8,569,4.58,4.61,2.84,3
0.3,61.1,569,4.37,4.32,2.66,3
0.3,62.3,569,4.26,4.23,2.64,3
0.33,61.7,570,4.43,4.45,2.74,2
0.41,63.7,570,4.7,4.75,3.01,1
0.3,63.7,570,4.26,4.28,2.72,3
