x,depth,price,x,y,z,class
1.11,60.5,116,1.95,1.98,1.41,0
1.1,59.8,116,1.89,1.84,1.1,0
1.11,56.9,117,4.05,4.07,1.1,0
1.19,61.4,114,4.1,4.11,1.61,1
1.1,61.1,115,4.14,4.15,1.75,1
1.14,61.8,116,1.94,1.96,1.48,1
1.14,61.1,116,1.95,1.98,1.47,1
1.16,60.9,117,4.07,4,1.51,1
1.11,65,117,1.87,1.78,1.49,0
1.11,59.4,118,4,4.05,1.19,1
1.1,64,119,4.15,4.18,1.71,1
1.11,61.8,140,1.91,1.9,1.46,1
1.11,60.4,141,1.88,1.84,1.11,1
1.1,61.1,144,4.15,4.17,1.7,1
1.1,60.1,145,1.79,1.75,1.17,0
1.11,60.9,145,4.18,4.41,1.68,0
1.1,61,148,4.1,4.14,1.68,1
1.1,61.4,150,4.11,4.19,1.7,1
1.1,61.8,150,4.11,4.16,1.7,1
1.1,61.7,150,4.1,4.17,1.66,1
1.1,61.1,150,4.16,4.1,1.7,1
1.11,61.8,151,1.85,1.91,1.48,0
1.11,60,151,1.94,1.96,1.4,1
1.1,59.4,151,4.19,4.41,1.61,1
1.1,58,151,4.44,4.47,1.59,1
1.11,60.4,154,1.97,4,1.4,0
1.14,61.5,155,1.97,1.94,1.47,1
1.1,61.1,157,4.18,4.1,1.67,1
1.9,60.9,1451,6.14,6.08,1.78,1
1.9,61.9,1451,6.05,6.01,1.91,1
1.74,60.9,1454,5.79,5.8,1.59,1
1.1,61,568,4.15,4.19,1.69,0
1.16,61.5,568,4.55,4.59,1.9,1
1.16,60.5,568,4.56,4.59,1.77,1
1.16,61.1,568,4.5,4.56,1.87,1
1.16,61,568,4.57,4.58,1.84,1
1.16,61,568,4.55,4.59,1.84,1
1.1,61,568,4.16,4.1,1.7,1
1.16,61,568,4.57,4.6,1.85,1
1.1,61.1,568,4.16,4.19,1.7,0
1.16,60,568,4.58,4.61,1.76,1
1.16,60.9,568,4.58,4.6,1.8,1
1.16,60.1,568,4.58,4.64,1.78,1
1.16,61,568,4.54,4.58,1.81,1
1.16,60.5,569,4,4.06,1.5,0
1.15,60.8,569,4.54,4.56,1.8,1
1.15,60.8,569,4.58,4.6,1.84,1
1.1,60,569,4.17,4.11,1.66,1
1.1,61.1,569,4.16,4.11,1.64,1
1.11,60.7,570,4.41,4.45,1.74,1
1.4,61.7,570,4.7,4.75,1,0
1.1,61.7,570,4.16,4.18,1.71,1
1.1,60.7,570,4.18,4.1,1.65,0
1.1,60.7,570,4.11,4.14,1.67,1
1.1,60,570,4.15,4.17,1.66,1
1.1,60,570,4.11,4.16,1.65,1
1.1,60,570,4.1,4.11,1.6,1
1.1,60.1,570,4.11,4.16,1.66,1
1.1,61.6,570,4.19,4.14,1.7,1
1.11,60.1,570,1.99,1.94,1.41,1
1.16,59.7,570,4.65,4.69,1.79,1
1.74,61.1,1454,5.79,5.8,1.6,1
1.78,60.4,1454,5.9,5.94,1.64,1
1.7,60.8,1454,5.7,5.71,1.51,1
1.96,56.7,1454,6.5,6.19,1.66,1
1.11,60.4,1455,6.47,6.51,1.91,0
1.11,60.4,1455,6.5,6.44,1.97,1
1.9,61.1,1455,6.01,6.05,1.81,1
1.11,61.1,1455,6.41,6.17,1.98,0
1.75,61.4,1456,5.81,5.8,1.61,1
1.86,61.1,1456,6.01,6.07,1.8,0
1.94,61.4,1456,6.11,6.07,1.87,1
1.7,61,1457,5.69,5.75,1.55,1
1.9,60,1457,6.19,6.17,1.84,1
1.15,60.9,1457,6.59,6.5,1.99,1
1.9,61,1457,6.01,6,1.86,1
1.9,61,1457,6.08,6.01,1.88,1
1.9,60.6,1457,6.11,6.05,1.8,1
1.5,60,1457,7.4,7.18,4.41,1
1.14,61.8,1459,6.44,6.5,4.06,1
1.11,60.1,1459,6.47,6.5,1.97,0
1.9,61.5,1459,6.05,6.08,1.81,1
1.71,60.9,1459,5.79,5.81,1.54,0
1.71,60,1459,5.91,5.84,1.51,1
1.81,61.1,1460,5.96,5.98,1.78,0
1.8,61.7,1460,5.87,5.9,1.75,1
1.11,61.6,1460,6.44,6.4,4.01,1
1.7,60.8,1460,5.7,5.77,1.55,1
1,65,1460,6.19,6.1,4.07,0
1,60.5,1460,6.5,6.44,1.98,0
1.16,61.7,1460,6.51,6.47,4.07,1
1,61.9,1460,6.14,6.1,1.98,1
1.74,61.1,1460,5.79,5.77,1.6,1
1,64,1460,6.14,6.1,4.05,0
1.96,59.8,1461,6.41,6.19,1.81,1
1.74,60,1461,5.8,5.84,1.56,0
1.75,61,1461,5.81,5.88,1.66,0
1,61.5,1461,6.1,6.16,4.01,1
1.8,61,1461,5.9,5.94,1.74,1
1.74,61.1,1461,5.75,5.79,1.59,0
1.71,60.7,1461,5.81,5.76,1.57,1
1.9,61,1461,6.06,6.15,1.85,1
1.71,60.6,1461,5.8,5.81,1.57,1
1.7,60.4,1461,5.71,5.76,1.47,1
1.7,61.6,1464,5.68,5.76,1.58,0
1.7,60.6,1464,5.65,5.71,1.5,0
1.9,60.5,1464,6.11,6.14,1.77,1
1.71,60.6,1464,5.78,5.81,1.57,1
1.7,60.4,1464,5.75,5.8,1.49,0
1.7,59.4,1464,5.8,5.89,1.47,0
1,61.9,1465,6.16,6.1,4,1
1,61,1465,6.14,6.4,1.96,1
1,60.9,1465,6.11,6.16,1.91,1
1.56,60.9,1465,5.18,5.11,1.18,1
1.7,61.9,1465,5.65,5.7,1.57,1
1.9,61.4,1465,6.06,6.09,1.85,1
1.71,61.5,1465,5.71,5.76,1.59,0
1.9,65.9,1465,5.98,6,1.95,1
1.9,64.4,1465,6.04,6.08,1.9,1
1.15,60.5,1465,6.9,6.81,4.05,1
1.11,61.9,1466,6.11,6.17,4.06,0
1.71,59,1466,5.88,5.91,1.48,0
1.71,60.4,1467,5.8,5.78,1.56,1
1.9,60.1,1468,6.08,6.11,1.8,1
1.55,60.8,1468,5.19,5.11,1.11,1
1.55,60.5,1468,5.16,5.18,1.14,1
1.55,60.8,1468,5.1,5.14,1.14,1
1.7,60,1468,5.74,5.79,1.51,1
1.77,60.1,1468,5.9,5.97,1.64,1
1.9,61,1468,6.1,6.07,1.84,1
1,61.5,1469,6.61,6.55,4.01,1
1.71,60.7,1470,5.75,5.78,1.55,0
1.9,57.9,1470,6.11,6.15,1.64,1
1.7,61.5,1470,5.61,5.67,1.51,1
1.8,61,1470,5.86,5.91,1.66,1
1.8,61.6,1470,5.81,5.94,1.74,1
1.71,60.4,1470,5.8,5.81,1.57,0
1.7,60.6,1470,5.69,5.74,1.51,1
1.7,60.8,1470,5.71,5.74,1.54,1
1.71,60.8,1470,5.77,5.8,1.51,0
1.7,61,1471,5.7,5.66,1.51,0
1,60,1471,6.41,6.16,1.9,1
1,58.5,1471,6.47,6.41,1.77,1
1.88,61.1,1471,6.08,6.05,1.87,1
1.78,60.5,1471,5.91,5.97,1.66,0
1,61.7,1471,6.18,6.05,1.96,1
1,59,1471,6.61,6.5,1.87,1
1,66,1471,6.08,6.01,4.07,1
1.9,60.1,1471,6.11,6.01,1.71,1
1.9,60.1,1471,6.04,6,1.69,1
1.9,64.9,1471,6.01,5.98,1.9,1
1.9,61,1471,6.06,6.01,1.87,1
1.9,64.5,1471,6,6,1.9,1
1.9,61,1471,6.01,6.09,1.85,1
1.78,61,1471,5.86,5.8,1.67,1
1.9,60.9,1475,6.11,6.16,1.8,1
